Date,Open,High,Low,Close,Adj Close,Volume
2011-09-19,60.110001000000004,61.029999,54.509997999999996,56.02,45.662159,829800
2011-09-26,56.59,59.509997999999996,55.529999,55.580002,45.303515999999995,399600
2011-10-03,55.099998,58.18,51.93,56.400002,45.971901,1296200
2011-10-10,57.5,60.880001,57.5,60.66,49.44426,418500
2011-10-17,60.130001,61.529999,58.330002,61.459998999999996,50.096348,412300
2011-10-24,61.75,66.129997,61.080002,65.279999,53.210041000000004,491300
2011-10-31,64.400002,64.739998,61.0,63.889998999999996,52.077034000000005,386500
2011-11-07,63.900002,64.949997,61.869999,63.950001,52.125957,318000
2011-11-14,63.66,63.98,61.389998999999996,61.919998,50.471272,388100
2011-11-21,60.869999,61.049999,57.919998,57.919998,47.210873,321800
2011-11-28,59.91,64.209999,59.630001,63.220001,51.530918,521100
2011-12-05,64.370003,64.68,62.09,63.84,52.036282,538400
2011-12-12,63.110001000000004,63.669998,60.849998,62.150002,50.658764,419700
2011-12-19,62.709998999999996,64.769997,60.889998999999996,63.330002,51.620583,1036400
2011-12-26,63.16,63.759997999999996,62.209998999999996,62.669998,52.194229,1016700
2012-01-02,64.059998,64.440002,62.5,63.849998,53.176987,628200
2012-01-09,64.089996,65.5,63.549999,64.93,54.076446999999995,562300
2012-01-16,65.519997,66.709999,64.75,66.620003,55.48396700000001,443100
2012-01-23,66.559998,68.0,65.860001,67.66999799999999,56.358433,738800
2012-01-30,67.08000200000001,70.120003,66.650002,69.959999,58.26565600000001,792200
2012-02-06,69.690002,70.32,68.720001,68.879997,57.36616899999999,803800
2012-02-13,69.650002,70.529999,68.650002,70.230003,58.490517000000004,537100
2012-02-20,70.449997,70.449997,68.910004,69.800003,58.132385,416000
2012-02-27,69.239998,70.08000200000001,67.970001,68.269997,56.858143000000005,797200
2012-03-05,68.120003,69.58000200000001,66.75,69.160004,57.599388,822600
2012-03-12,69.220001,70.769997,68.739998,70.599998,58.798671999999996,498100
2012-03-19,70.459999,71.57,69.0,70.120003,58.398906999999994,345700
2012-03-26,70.889999,71.5,69.620003,70.379997,58.63960600000001,406700
2012-04-02,70.160004,71.160004,69.269997,69.360001,57.78978000000001,426800
2012-04-09,68.18,68.940002,66.720001,67.709999,56.41500500000001,646800
2012-04-16,68.08000200000001,69.540001,67.43,68.690002,57.231541,821800
2012-04-23,67.620003,70.43,67.199997,70.349998,58.614608999999994,465300
2012-04-30,70.260002,70.82,67.699997,67.900002,56.57331800000001,577100
2012-05-07,67.650002,68.389999,67.0,67.699997,56.406673,512900
2012-05-14,67.099998,67.389999,63.759997999999996,63.869999,53.215584,523000
2012-05-21,64.019997,65.860001,63.720001,65.599998,54.65698199999999,502600
2012-05-28,66.059998,66.660004,63.400002,63.439999,52.8573,346500
2012-06-04,63.580002,66.389999,62.59,65.730003,54.765319999999996,882200
2012-06-11,66.43,66.540001,64.150002,65.849998,54.865283999999996,431000
2012-06-18,65.440002,67.389999,65.239998,65.970001,54.965275,408800
2012-06-25,65.059998,68.199997,64.629997,68.199997,56.823265,425900
2012-07-02,68.379997,69.839996,67.989998,69.059998,57.539821999999994,485000
2012-07-09,68.970001,69.269997,67.040001,68.730003,57.264862,257000
2012-07-16,68.610001,69.410004,68.010002,68.08000200000001,56.723301,285200
2012-07-23,67.0,68.5,66.029999,68.279999,56.889922999999996,392400
2012-07-30,68.389999,68.589996,66.339996,68.18,56.806622,319100
2012-08-06,68.209999,69.459999,68.18,69.199997,57.656452,316800
2012-08-13,68.980003,70.41999799999999,68.449997,70.33000200000001,58.597961,341500
2012-08-20,70.120003,71.150002,69.129997,69.639999,58.023067000000005,327600
2012-08-27,69.910004,70.43,69.459999,69.940002,58.273029,266300
2012-09-03,69.93,72.5,69.449997,72.370003,60.297642,240400
2012-09-10,72.25,74.779999,72.099998,74.550003,62.113991000000006,474400
2012-09-17,74.16999799999999,74.33000200000001,72.779999,73.309998,61.080853000000005,300800
2012-09-24,73.129997,73.629997,71.610001,71.900002,59.906055,498000
2012-10-01,72.260002,73.550003,71.660004,72.760002,60.622616,315600
2012-10-08,72.370003,72.66999799999999,71.199997,71.32,59.42281,341900
2012-10-15,71.519997,73.209999,71.019997,71.730003,59.764412,306300
2012-10-22,71.550003,71.849998,70.529999,71.040001,59.189526,357200
2012-10-29,71.040001,72.83000200000001,70.839996,71.68,59.722747999999996,186000
2012-11-05,71.66999799999999,72.800003,69.529999,69.910004,58.24802,668500
2012-11-12,70.18,70.190002,67.18,68.269997,56.881595999999995,749000
2012-11-19,69.099998,70.879997,69.0,70.879997,59.056220999999994,286100
2012-11-26,70.690002,72.18,70.120003,72.120003,60.08937099999999,455100
2012-12-03,72.480003,72.610001,71.559998,72.41999799999999,60.339321,936200
2012-12-10,72.489998,73.620003,72.33000200000001,72.510002,60.414314000000005,665600
2012-12-17,72.800003,75.08000200000001,72.650002,74.610001,62.163993999999995,1481200
2012-12-24,74.32,74.32,71.07,71.370003,59.464484999999996,701000
2012-12-31,71.470001,75.519997,71.260002,75.379997,64.423676,1690800
2013-01-07,75.120003,75.43,74.599998,75.089996,64.17585,868200
2013-01-14,74.980003,76.300003,74.800003,76.239998,65.158699,736700
2013-01-21,76.300003,77.339996,76.290001,77.209999,65.98769399999999,669100
2013-01-28,77.489998,78.230003,76.720001,78.029999,66.68853,782300
2013-02-04,77.629997,78.610001,77.029999,78.57,67.15004,759800
2013-02-11,78.599998,79.839996,78.300003,79.68,68.098694,782900
2013-02-18,79.839996,80.400002,77.790001,78.989998,67.508995,576500
2013-02-25,79.559998,79.58000200000001,77.199997,78.699997,67.261139,638800
2013-03-04,78.629997,80.959999,78.260002,80.900002,69.141388,1208000
2013-03-11,80.75,82.110001,80.610001,82.010002,70.09004200000001,929400
2013-03-18,81.309998,82.110001,80.879997,81.650002,69.78235600000001,622200
2013-03-25,81.949997,82.370003,81.25,82.150002,70.227783,612600
2013-04-01,82.110001,82.260002,79.239998,80.290001,68.637741,785000
2013-04-08,80.410004,82.57,80.08000200000001,81.83000200000001,69.954262,611300
2013-04-15,81.379997,81.410004,78.220001,79.400002,67.876892,710100
2013-04-22,79.440002,81.959999,78.389999,81.139999,69.364372,693300
2013-04-29,81.480003,83.220001,80.660004,82.760002,70.749275,869900
2013-05-06,82.779999,84.540001,82.779999,84.519997,72.253853,759200
2013-05-13,84.43,86.33000200000001,84.059998,86.300003,73.77552800000001,627500
2013-05-20,86.129997,87.269997,83.510002,84.860001,72.544525,604900
2013-05-27,86.099998,86.489998,84.16999799999999,84.779999,72.476128,398600
2013-06-03,85.010002,85.32,82.699997,84.690002,72.3992,752000
2013-06-10,85.029999,85.16999799999999,82.93,84.139999,71.928986,723900
2013-06-17,84.769997,85.58000200000001,81.199997,82.16999799999999,70.244888,707200
2013-06-24,81.410004,84.25,80.349998,83.699997,71.552856,714100
2013-07-01,84.260002,85.699997,84.089996,85.68,73.245499,675700
2013-07-08,86.129997,88.339996,85.970001,88.209999,75.408333,892200
2013-07-15,88.379997,89.610001,87.970001,89.389999,76.417068,660700
2013-07-22,89.599998,90.089996,88.809998,89.349998,76.38288100000001,508900
2013-07-29,89.18,90.900002,88.639999,90.589996,77.442924,587800
2013-08-05,90.489998,90.760002,88.879997,89.58000200000001,76.579521,426800
2013-08-12,89.07,89.989998,87.41999799999999,87.519997,74.818443,439800
2013-08-19,87.379997,88.449997,86.449997,88.269997,75.459618,605200
2013-08-26,88.300003,88.660004,85.459999,85.699997,73.26260400000001,506700
2013-09-02,86.650002,87.379997,85.110001,86.870003,74.262817,315500
2013-09-09,87.25,89.07,87.230003,88.809998,75.921242,500400
2013-09-16,89.93,91.160004,89.160004,90.16999799999999,77.08386999999999,424400
2013-09-23,90.07,90.940002,89.470001,90.269997,77.16935699999999,469300
